atac_logfc	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me3	H3K9me3
chr1:150270779:150273079	-0.0676972076747719	-0.243110739850003	-0.0490550921019861	-0.111972530407273	-0.173065218280444	-0.172530310356686	-0.16226520688084
chr1:150506075:150508375	-0.108252523010117	-0.46197417058254	-0.198760097029544	-0.292695985351497	-0.42957458742968	-0.425193802941694	-0.268626765818744
chr1:150506081:150508381	-0.166191481370546	-0.449503065348618	-0.233970443705927	-0.255269406622205	-0.327654695282747	-0.378091148696766	-0.324509368519684
chr1:150506093:150508393	-0.203480872769833	-0.480546962141851	-0.182777575239799	-0.277153617613745	-0.249891874987097	-0.320159572303831	-0.297975249261136
chr1:150506106:150508406	-0.246378347744727	-0.412010499883929	-0.272880740753728	-0.260598640255643	-0.302169025278674	-0.31306865643157	-0.218684259889518
chr1:150506108:150508408	-0.277571317558058	-0.470031373745677	-0.21483418272248	-0.270389976611626	-0.295573071291019	-0.332908102919362	-0.269723767827197
chr1:153545502:153547802	-0.705234539231124	-0.676917430946121	-0.483804517757503	-0.266024421936211	-0.328671631747542	-0.415678294317281	-0.296762990198111
chr1:153545506:153547806	-0.62812029159481	-0.708333570180282	-0.495702154267387	-0.206167558075551	-0.169781838988512	-0.337390883091745	-0.376419785405497
chr1:153988761:153991061	-0.262483425098847	-0.377015339773417	-0.313066283572526	-0.230830283704052	-0.328918852619543	-0.253960683687592	-0.289372524147903
chr1:153988762:153991062	-0.245285003414748	-0.294882435394344	-0.306225623135332	-0.312121012702477	-0.322803431550128	-0.246602741540822	-0.308061099574021
chr1:155187467:155189767	-0.0099770207497572	-0.182912449922402	-0.0646460736319362	-0.138052914631159	-0.081007031815364	-0.187766372669751	-0.0365329106209554
chr1:155187531:155189831	-0.0155833608038394	-0.0174152492160322	-0.127744882391469	-0.148837077081557	-0.049463006308503	-0.131559983304868	0.0439019068139215
chr1:155192567:155194867	-0.196389305436906	-0.489775999724107	-0.0619844555019406	-0.0554882783046425	-0.140379074471997	-0.114038873050687	0.057829755014911
chr1:155192568:155194868	-0.134711128726405	-0.472926899373687	-0.08385185125669	-0.0540980859565221	-0.127623021246378	-0.153286327869568	0.0134965033754019
chr1:155192593:155194893	-0.204170488803568	-0.58458797646801	-0.0142125474627324	-0.172429069991705	-0.0196292847999677	-0.125260970083016	0.0116431968903382
chr1:155192609:155194909	-0.197455965579251	-0.548619704082558	-0.0681569808467519	-0.115593583440138	-0.00476556091649318	-0.0731800288967931	-0.0214505887414447
chr1:155192615:155194915	-0.249849364975659	-0.484772650703993	-0.0758233582152077	-0.107470361172283	0.0312255663640271	-0.0573351413271636	-0.0169333936053124
chr1:155192616:155194916	-0.26182615146846	-0.517012891374666	-0.0753312517891073	-0.0157600557185542	-0.00179213413582644	0.00669745046428202	-0.0337949070631133
chr1:155207597:155209897	-0.255245847914107	-0.235490989416797	-0.270630025978656	-0.222080696192895	-0.180818892463922	-0.306994279043516	-0.155419854555459
chr1:155207599:155209899	-0.26440527314689	-0.208070091277489	-0.299090350544087	-0.182005743311428	-0.148068909972794	-0.274739451722444	-0.173720854898031
chr1:155207617:155209917	-0.248770684721296	-0.188549034013194	-0.322104986040308	-0.184390163137419	-0.1274176672851	-0.254924174289777	-0.132660641189513
chr1:158997967:159000267	-0.242518988665711	-0.155669906208919	-0.0405386159983987	0.0191713014916139	-0.100391005106932	0.0579138961187621	0.0359263552745189
chr1:159007917:159010217	-0.455135064976411	-0.291981084761138	-0.100155116652065	-0.136782889408712	-0.281346249823713	-0.0951791368871278	-0.232173207309899
chr1:159007926:159010226	-0.486583688317292	-0.348546174000999	-0.0973278172214505	-0.177592998130937	-0.395586326622107	-0.135897189503289	-0.155645761152644
chr1:159030503:159032803	-0.0660378776975802	-0.551531770929441	0.00704184698630888	-0.0150456693080863	-0.00637530911282758	-0.20498547763317	-0.100975305427099
chr1:159959217:159961517	-0.363715561797746	-0.54184201897654	-0.179906476428513	-0.151378519341563	0.0594262516280859	-0.193497968127858	-0.111050699183675
chr1:159959298:159961598	-0.289647918982063	-0.4269552184851	-0.088245564697565	-0.11607313218304	-0.0495167614768404	-0.152051530566482	-0.221801251997803
chr1:160121957:160124257	0.0654829169424377	-0.269437177501846	0.0155600141194081	-0.0301319595120244	-0.105181749237107	-0.159498803908097	-0.00797366598884246
chr1:172144268:172146568	-0.197346752422725	-0.381786193440436	-0.054115048636158	-0.132443230819401	-0.180788566669995	-0.126606831738278	-0.0594773384542513
chr1:172144282:172146582	-0.33514050455636	-0.419717779281717	-0.0831493323663509	-0.0430563707244372	0.0699655640577765	-0.130107542074212	-0.108869426552591
chr1:172144319:172146619	-0.187467778750247	-0.431258623182368	-0.0635791307086664	-0.117087257632251	-0.133530227152896	-0.163668166004493	-0.146701873713627
chr1:172144441:172146741	-0.171765545396826	-0.43557919917074	-0.029700891168022	0.111545349041168	-0.0515420520385808	-0.175297075392611	-0.208895305295026
chr1:172144540:172146840	-0.165563667187164	-0.435437140514041	-0.161172744563877	-0.0703396705288877	-0.0695159418546732	0.0117150075404881	-0.188766654927632
chr1:183278385:183280685	-0.313967119573491	-0.296092856220592	0.0382388692534136	0.00119567800479611	0.023425387849497	-0.0637848082706676	0.0029556750053511
chr1:19594976:19597276	-0.0759059907532988	-0.0740873836711773	-0.113357864822623	-0.22379945223079	-0.170537556522632	-0.130370729393446	-0.260722570510382
chr1:19594978:19597278	-0.307722414207794	0.0252907385532676	-0.099633313663708	-0.175378102799138	-0.269153718276251	-0.096001479425516	-0.202125310296986
chr1:19594982:19597282	-0.210395722544146	-0.0611546287407021	-0.0538435992272655	-0.20364063984097	-0.251785351105434	-0.161444788270498	-0.204851732199663
chr1:19594990:19597290	-0.11834329813332	-0.115263925751714	-0.159205447562481	-0.200771059827909	-0.285201072603282	-0.130519992990976	-0.21756895778685
chr1:19594994:19597294	-0.222104330020769	-0.0582366123197287	-0.10677461390199	-0.203948196261435	-0.271341499856159	-0.1294159029891	-0.225716754490193
chr1:19595000:19597300	-0.128525509723993	-0.105060916620348	-0.0747498055103157	-0.207911213319222	-0.262031759202447	-0.0803944140998032	-0.219857829961681
chr1:19595038:19597338	-0.238856776124104	-0.133856705374147	-0.0896752429950172	-0.181116303314981	-0.129501273195691	-0.1149892556716	-0.248585195058113
chr1:19595040:19597340	-0.26723769812567	-0.154375265328791	-0.0154614824114251	-0.156333905804417	-0.18853057049481	-0.178840905032667	-0.225149187272498
chr1:19595051:19597351	-0.257980829150957	-0.124462432929877	-0.0529377816928747	-0.191357452872953	-0.225502642424309	-0.120232524560068	-0.194263456026806
chr1:19595069:19597369	-0.308474254774804	-0.0978487724405607	0.00917084733605794	-0.155933931982426	-0.162230376167449	0.00643546672497261	-0.236216980246336
chr1:203182505:203184805	-0.142593310958365	-0.0571217397336371	-0.0381713398833039	-0.00436593585932001	-0.246036121426451	-0.171878693124039	0.0015085405323225
chr1:203182541:203184841	-0.134058550614268	-0.0589429654465174	-0.0637537874149669	-0.038161748391573	-0.241512918345278	-0.17810361681527	0.013132797396332
chr1:203350786:203353086	-0.269783424489994	-0.240152163521464	-0.282813620650699	-0.300562597159231	-0.267222908020226	-0.374973923628686	-0.0611562911853333
chr1:203350788:203353088	-0.321791963563186	-0.178834971096056	-0.304519276428778	-0.283339747712562	-0.356955157705178	-0.349261813634608	-0.124149757925808
chr1:203859598:203861898	-0.191694931221264	-0.19929959652983	-0.203614827997492	-0.22836007826783	-0.0749670062416714	-0.0803101992723205	-0.265821204726468
chr1:203859602:203861902	-0.266958002183439	-0.231366758902993	-0.173721870637741	-0.268124288253431	-0.0991704302480877	-0.114907258364752	-0.352600618636495
chr1:215003774:215006074	-0.128256355716451	-0.4862696393246	0.0388403094567107	-0.138276067227471	-0.0616477144737732	-0.175244238931596	-0.121583432818831
chr1:215003849:215006149	-0.118095109102303	-0.543346488473715	-0.10567462904402	-0.140907391693397	-0.133599957336648	-0.252277016391056	-0.012461892162624
chr1:215003854:215006154	-0.191833843906478	-0.506125642667223	-0.0863065431355388	-0.132052670333073	-0.17708090278152	-0.233413015642601	-0.00928554101814988
chr1:25906117:25908417	-0.123887086273082	-0.0707679403992161	-0.192242611453214	-0.0706886847208685	-0.096999629794612	-0.385235075856276	-0.142594320946094
chr1:25906119:25908419	-0.11878789308153	-0.0103866660555325	-0.228300210097304	-0.0803682793755173	-0.0943970167622217	-0.369306717379699	-0.12226419988253
chr1:25906166:25908466	-0.0360147285356888	-0.0728223388432213	-0.120281874738006	-0.0839316402954277	-0.0288920814784807	-0.255568585729274	-0.0798162907004286
chr1:44806481:44808781	-0.397924856252357	-0.419468763816622	-0.0245723578663954	0.0391793917055341	0.0424715673080847	-0.0289976455969451	-0.0276544098116745
chr1:44806522:44808822	-0.384715848066745	-0.334959631897696	-0.0215664113499792	-0.0054889123009555	0.0585925183885422	-0.0373767219889369	-0.115314347270925
chr1:44806566:44808866	-0.331225788330207	-0.524686440717917	-0.00923892382192435	-0.123848114496125	0.00684467573727027	-0.0829371400782998	-0.05356352217724
chr1:44806595:44808895	-0.411308859548359	-0.400095877237787	-0.0813473330295064	-0.125235724129739	0.0739371411130086	-0.076108256919427	-0.0270039907609175
chr1:53238199:53240499	-0.316293762527473	-0.0114878793721817	-0.18020134663947	-0.415952774681453	-0.430310902563706	-0.159816191348909	-0.237669019971897
chr1:53238208:53240508	-0.299160689877544	-0.0355018557136393	-0.214314464467453	-0.458977280992684	-0.406066427303486	-0.172529883390866	-0.279183546337532
chr1:53238218:53240518	-0.268687550255406	-0.0778563381935811	-0.14033902446133	-0.362289422286849	-0.404880206016995	-0.149787141345161	-0.27380159376625
chr1:78647830:78650130	0.0110732586784437	-0.0553782235998944	-0.0923188661817381	-0.0877804969949193	-0.207427917661682	-0.364135896562592	-0.0401864476748564
chr1:78647831:78650131	0.0133964345823339	-0.0556620924581612	-0.0928872606088166	-0.0842087210074633	-0.20523009394295	-0.36534222920661	-0.045662885257124
chr1:78647832:78650132	-0.00850778061043772	-0.0197390885301005	-0.088804776297378	-0.102713959972128	-0.179725125216285	-0.317585130569686	-0.0925601143997033
chr1:78647841:78650141	0.0151606825126332	0.00891217967058183	-0.0447783888700208	-0.0521018016177854	-0.124411846823464	-0.287495466649799	-0.0153572216740045
chr1:78647857:78650157	0.0296604224847135	0.0502328368075908	-0.0666670794857959	0.0195761944448752	-0.0545179493806446	-0.282115900124799	-0.0648917431129535
chr10:101783075:101785375	-0.0582613772153183	-0.162618731599326	-0.130404846683238	-0.177699445594025	0.0742598253454642	-0.331702672769991	-0.0418645970701882
chr10:101783084:101785384	-0.0469124788736536	-0.120371322956257	-0.123624963980206	-0.114731643845072	0.0481701294562519	-0.332929277159809	0.00303453999248546
chr10:101783113:101785413	-0.0313619199254139	-0.0180259211314661	-0.190118113937063	-0.0421440117358023	-0.0610347430697104	-0.253745916039873	0.0374245001661621
chr10:44384743:44387043	-0.0821313522333505	-0.598653270449582	-0.00502854849956281	0.0264146752563269	0.0847184575810813	-0.151424405406519	-0.0960485341998264
chr10:44384749:44387049	-0.0691640189642468	-0.567993947024567	-0.138382145881865	-0.0606932691408318	-0.0433680917280733	-0.204951270062992	-0.149997560318857
chr10:44384770:44387070	-0.0644089030547687	-0.614749442937148	-0.04509709352231	-0.01439008047367	-0.0702274309057694	-0.135390126811438	-0.144171300587283
chr10:44384792:44387092	-0.0558189467949609	-0.629039121493398	-0.115563588385501	-0.0327473474645519	-0.0215522142557305	-0.175602851129534	-0.134790067779309
chr10:44384797:44387097	-0.111108129231099	-0.564987368827035	-0.127196501326469	-0.0459941823713972	-0.0657606021013836	-0.216390688043463	-0.118187426220907
chr11:102724481:102726781	-0.128890990609136	0.14961610189583	0.086707373510005	-0.129702470243094	-0.100977208159552	-0.319095246430963	-0.0231960492023859
chr11:111910496:111912796	-0.120296199867039	-0.26072296575407	-0.173065471711455	0.0554650992549765	-0.123312558634168	-0.150725967104205	-0.128676418052004
chr11:111910530:111912830	-0.132327554288944	-0.178170627328084	-0.107667919369911	0.0259034813999954	-0.167444635932374	-0.15838107385573	-0.164112999596032
chr11:111910552:111912852	-0.276441616652379	-0.179827016138584	-0.239260876905117	-0.0402621917878934	-0.140583080179963	-0.209057575984697	-0.130812806096547
chr11:111910593:111912893	-0.260458531825799	-0.171160982172819	-0.253961490082966	-0.12157065514234	-0.14640798602366	-0.176837337784992	-0.182929973602441
chr11:111910608:111912908	-0.175203351155308	-0.15251546497945	-0.154609342681254	-0.103435227261658	-0.0938701821358075	-0.161616367379508	-0.121416811195305
chr11:111911683:111913983	-0.0323253024695067	-0.569296625900539	-0.0924973109624989	-0.0386530393556696	-0.317753982709132	-0.21799313575079	-0.0673865571777427
chr11:111911710:111914010	-0.0951938869971717	-0.575592417376307	-0.0641711223844601	-0.127348560819842	-0.37107545734882	-0.200591316854503	-0.0985897753899528
chr11:111912850:111915150	-0.201330449831399	-0.539074153844827	-0.0659076846247192	-0.00287750484206847	-0.260015148053248	-0.220315469888302	0.00659462592192012
chr11:111912884:111915184	-0.156992618654712	-0.536356534385955	-0.0801192764171292	-0.0973970690276394	-0.360373366870771	-0.24094144690016	-0.00766315461754152
chr11:111912888:111915188	-0.227333908620392	-0.467910981182239	-0.108455342690592	-0.122587396488444	-0.372440640985459	-0.195749802374058	0.00671944400705622
chr11:111912897:111915197	-0.142431310288456	-0.554713096130633	-0.122575126470657	-0.00608504221506917	-0.414590530975928	-0.184754633726363	0.0503053856296174
chr11:111912913:111915213	-0.272075574456849	-0.520504416863216	-0.0865036977703285	-0.107040149656719	-0.366027497253026	-0.189098769357514	-0.0120633185622909
chr11:111912918:111915218	-0.261408337337065	-0.517292308211367	-0.0623430225423453	-0.115663217006146	-0.365240333901436	-0.189555131383434	-0.0139547758290545
chr11:114293824:114296124	-0.411927397380819	-0.281467254792359	-0.0688803264410333	-0.17171232519726	-0.0455651409064703	-0.0416997998685517	-0.00694739535471773
chr11:114296150:114298450	-0.0251001679018977	-0.637534684689764	-0.0283437375682321	-0.140854673749162	-0.345823898443578	-0.185059627445312	-0.00814265594690553
chr11:122100100:122102400	-0.364093822345216	-0.0378653376922692	-0.22468963001147	-0.589921053467457	-0.121873705275897	-0.0271113880700224	-0.179647643336562
chr11:122100147:122102447	-0.395058147360907	-0.180065679160278	-0.0947720286772811	-0.492197696660092	-0.0801455550202054	-0.0178287965759229	-0.0414013594544596
chr11:122100148:122102448	-0.395871138462151	-0.177490252386275	-0.0952599918131371	-0.494156025909397	-0.0807527638965925	-0.018061824044685	-0.029397572373671
chr11:122100170:122102470	-0.443022935089928	-0.130883360764744	-0.181012331261532	-0.552484800308499	-0.0456748888250289	-0.135364821565207	-0.118127252564369
chr11:122100175:122102475	-0.380057055433337	-0.186767679414097	-0.198716768122217	-0.51019510815236	-0.11958723224352	-0.0905768721703474	-0.0945134665501541
chr11:122100182:122102482	-0.371861611646291	-0.159572819068164	-0.194959190256216	-0.527981581758226	-0.116051212926588	-0.0997546146527312	-0.0857354508872164
chr11:122100192:122102492	-0.343038654947972	-0.133155978988387	-0.163284480730499	-0.583745079958838	-0.134492846004126	-0.132066000825301	-0.100475446301905
chr11:122100232:122102532	-0.285494669537581	-0.196101781917581	-0.183821540658161	-0.6432528648097	-0.186240768582915	-0.0540331709018249	-0.0138421290378452
chr11:122100239:122102539	-0.331394972105079	-0.230228333353348	-0.143264213132983	-0.49225003648836	-0.109547599525116	-0.058447867319157	-0.107523868978133
chr11:125590818:125593118	-0.168977408260812	-0.0619952302556686	-0.0449728376461319	-0.194318166548463	-0.312065289949014	0.0990823690502053	-0.168977598955031
chr11:125590835:125593135	-0.178135907274326	-0.112882552710483	-0.0535917333690197	-0.141754283633441	-0.300705550243827	-0.0558128042685002	-0.208100159211791
chr11:125590851:125593151	-0.131620168975182	-0.111375394486736	-0.066508640248867	-0.162484812659136	-0.315600576287917	-0.0998171204162544	-0.166476863565642
chr11:125590857:125593157	-0.137549944207612	-0.169267118895622	-0.059722548553545	-0.149538958278269	-0.323919150996219	-0.0849125981108477	-0.129518701597941
chr11:125590866:125593166	-0.0343159633010053	-0.0983283641839581	-0.028127101112716	-0.126205371672452	-0.318728111852137	0.000348690399733446	-0.147499897167386
chr11:35174574:35176874	-0.142887659545711	-0.0320511126771636	-0.0763808492397162	-0.12562379313267	-0.0366939870782859	-0.172425813553186	-0.0984167523945235
chr11:35174627:35176927	-0.141238424375109	0.0293833376831321	-0.0957865081073695	-0.126398359849493	-0.12349757851182	-0.112659336777815	-0.265099200686415
chr11:35174640:35176940	-0.146468554188278	-0.126199054943985	-0.113341558554279	-0.110326519988473	-0.17798151297147	-0.193125929480075	-0.242512560704876
chr11:35174661:35176961	-0.164439732120702	-0.0317773771718847	-0.168692398199866	-0.0459514922866665	-0.0807154896684571	-0.150213938628543	-0.0492497986276227
chr11:35174698:35176998	-0.105564987983202	-0.0960744094227934	-0.11538222594364	-0.0209120048028575	-0.0167705918000457	-0.221542742966258	-0.0951123044777205
chr11:35178278:35180578	-0.131379668985906	-0.200299446629868	-0.0751974341467247	-0.297908238649252	-0.0829766614527215	-0.26238227466894	0.10178889288356
chr11:35178357:35180657	-0.0406542115359035	-0.187345284785547	-0.0462707391044331	-0.225912981018904	-0.0905169263090952	-0.255779316614199	-0.0953105496702743
chr11:35178382:35180682	-0.116896200372036	-0.230443677080969	-0.00133710132348045	-0.20426391127298	-0.0461417951045047	-0.205923373715904	-0.124638755274734
chr11:35184842:35187142	-0.318319015951548	-0.0786548857019165	-0.103441325914096	-0.470153493308705	0.0303516963331668	-0.28851053572231	-0.148928510143106
chr11:35184861:35187161	-0.249291370887397	-0.0505156829340706	-0.0372414134974023	-0.456751197012572	-0.0344111708145636	-0.24205212437987	-0.180680943967735
chr11:35187834:35190134	-0.0564736364949405	-0.177511588748887	0.0857409566550531	-0.363570907792013	-0.249290356948427	-0.340493903123097	-0.0391924337903626
chr11:35187881:35190181	-0.170825993375931	-0.252307054615261	-0.0544786362921328	-0.53736705250546	-0.198822703037815	-0.276687092832411	-0.0956294304672961
chr11:35187890:35190190	-0.10215959496038	-0.156401865408582	-0.0814556465465861	-0.535394717574153	-0.304950949627905	-0.290188554317445	-0.0868789169670435
chr11:35187899:35190199	-0.088822654649694	-0.30068567685937	-0.0455462617816463	-0.493483346768858	-0.290595884603755	-0.222872494119538	-0.126632460331465
chr11:35187925:35190225	-0.0914240995939985	-0.242699361774927	-0.0414591790483873	-0.494573135827435	-0.251902740683528	-0.361713421323235	-0.0891131120785772
chr11:35525297:35527597	-0.310272917893957	-0.473608510797764	-0.0898264654655427	-0.0524364004904798	-0.106140042587443	-0.249049063282288	-0.0595717340600396
chr11:35525303:35527603	-0.225933630198418	-0.481153384808121	-0.0407961061502098	-0.114546088926045	-0.0301076082983624	-0.299576983023984	-0.118945440791172
chr11:35525323:35527623	-0.219026098662011	-0.435084669515155	-0.0727702428318411	-0.114860882822555	-0.133201725946196	-0.292618320380456	-0.0415573296880212
chr11:35525435:35527735	-0.135370255212935	-0.423682087394529	-0.0480978016913937	-0.027761381048023	0.0185144670405301	-0.415284322000906	-0.0655895926461444
chr11:57426179:57428479	-0.203923500305647	-0.269652906437365	0.0277576269634095	-0.0286648729700277	-0.0662386959630336	-0.142105880668782	-0.0647393496836885
chr11:57426352:57428652	-0.335883019675733	-0.373129001136416	0.0550838219402735	0.0422905019001442	-0.0248402883789792	-0.073306809442653	-0.141180253418993
chr11:57426355:57428655	-0.367450634254852	-0.313995322067301	-0.0334324105837899	-0.0152206203135798	-0.0432053252878148	-0.0764506517226436	-0.0561440581975551
chr11:57426452:57428752	-0.0968235021338847	-0.321373756707015	-0.0932816872990774	0.0103866840012605	0.000658887607854102	0.00523405821883407	0.00724354850716975
chr11:57595680:57597980	-0.259277226964057	-0.303703901310735	0.0492235742176974	-0.153693625687783	-0.0184289205044199	-0.1771680275059	-0.217055435941079
chr11:57595682:57597982	-0.259908794878016	-0.356494684890049	0.034094120096715	-0.220381763864897	-0.0215362865963551	-0.249632222037679	-0.0974225838731103
chr11:57595687:57597987	-0.266744238432183	-0.309931838267568	0.022341742640659	-0.109593385791878	-0.136625992521839	-0.170342147720831	-0.153664365633724
chr11:57595689:57597989	-0.264865347551133	-0.308405551652098	0.0226288435223495	-0.112337757298979	-0.12941004955393	-0.173463056177534	-0.153561929638353
chr11:57595802:57598102	-0.164056366033579	-0.307146744036069	0.0390116706010168	-0.138017495465274	-0.0291260995269534	-0.199423902246704	-0.0530498251931869
chr11:57596232:57598532	-0.492378412872601	-0.469196734045397	-0.148528549091386	-0.0384435862561132	-0.0817927915291888	-0.234399057714342	-0.0712316102073592
chr11:57596270:57598570	-0.399772200448738	-0.538506091519688	-0.204673700830072	-0.0463240470010492	-0.0530756607457252	-0.219264144612819	-0.0608274521439529
chr11:61792294:61794594	-0.483359766997733	-0.192378415429171	-0.42118642991551	-0.231369156654345	-0.368057896945534	-0.270434336120511	-0.25392239465395
chr11:61792299:61794599	-0.50834681655437	-0.206178874054233	-0.424773451314277	-0.187900197539614	-0.387739181141727	-0.258443235271988	-0.304176550625779
chr11:61792301:61794601	-0.49463211341112	-0.231675043047528	-0.444248189068162	-0.171692254421757	-0.338736280261872	-0.390179906351154	-0.273244492953202
chr11:61792302:61794602	-0.494512583408398	-0.19908602323157	-0.421706045077662	-0.244763205200798	-0.384314831324387	-0.254782300575298	-0.284158371237753
chr11:61792316:61794616	-0.425818367518571	-0.0555159425882897	-0.422192407938734	-0.211784265563274	-0.323156633522156	-0.172847277481661	-0.25406072414422
chr11:69645956:69648256	-0.0552227139195772	-0.294227063655984	0.0187170771606303	-0.199008455723268	-0.0516840577721425	-0.14518616142768	0.0796211623660683
chr11:75397514:75399814	-0.313627631272578	-0.0837608475411016	-0.327450139564283	-0.258623254532542	-0.28343681713982	-0.242300186323702	-0.313657828246717
chr11:75397517:75399817	-0.290862574093736	-0.0864065623541392	-0.281655515434	-0.238366031936931	-0.310438675327439	-0.232337254976097	-0.361681324056454
chr11:75397518:75399818	-0.291005136588136	-0.0586455560966265	-0.296581815425279	-0.250167323072812	-0.343791226881896	-0.260287969025341	-0.348998449720588
chr11:75397519:75399819	-0.349908146900699	-0.0618346368578879	-0.276932761368545	-0.293854776602297	-0.317112288725237	-0.244771936758515	-0.314596739662002
chr11:75397529:75399829	-0.249859357948199	-0.0602813912028363	-0.282715356604743	-0.288173588287659	-0.398685500442211	-0.277484740474343	-0.415211801910227
chr11:75397530:75399830	-0.183677815974762	-0.0741010277464602	-0.280663592132826	-0.289412104559882	-0.364775409467681	-0.250435923910558	-0.299579237607082
chr11:75397536:75399836	-0.297347352414192	-0.0774279914062525	-0.247806502768475	-0.264640330779114	-0.457668962887888	-0.125388642968525	-0.4141394200898
chr11:75397541:75399841	-0.308449345965363	0.0236032458473906	-0.169124532571215	-0.275215928099484	-0.35291587152771	-0.0631213707232587	-0.339752268943039
chr11:75397542:75399842	-0.346250225195515	0.0201202565046135	-0.184917365989082	-0.279543924594699	-0.35417985343692	-0.0702059495808366	-0.333928541623952
chr11:75398691:75400991	-0.494879260847784	-0.214571979268894	-0.155175971018733	-0.262150385930998	-0.263566556387714	-0.207256285197029	0.0580137712017793
chr11:75398694:75400994	-0.463199616903013	-0.215548411051784	-0.298772116343231	-0.259597903225429	-0.256163975811783	-0.155488733092018	-0.0441649394892931
chr11:9662076:9664376	-0.169966553042805	-0.614769466084643	-0.077102987654637	-0.0750996453661384	-0.141098124741792	0.0869363237899779	0.08409385889228
chr11:9662080:9664380	-0.145811872581705	-0.633574067244518	-0.0080842640784776	-0.0524133047026153	-0.147248660658854	0.0712549488978543	0.0538944930080992
chr11:9662101:9664401	-0.175405068327398	-0.544945762168938	0.0923300404462939	-0.0296615342165384	-0.0998591353366261	0.123580875156633	0.0691841929176426
chr11:9773644:9775944	-0.293881691907024	-0.433771149254357	-0.0432987797680233	-0.234164849175977	-0.0320123167765479	-0.14602991675043	-0.0304582443471144
chr11:9773730:9776030	-0.231254688423569	-0.414862418705188	-0.016485324397049	-0.195569598541581	0.0444101967490142	-0.0517635168030424	-0.00178362310865445
chr12:101875682:101877982	-0.0322511401770156	-0.60427643798504	-0.00610358557724434	-0.000656741544711126	-0.0721862898859567	0.089973702084865	-0.0461209143248781
chr12:101875690:101877990	-0.108278709960046	-0.539728747078291	-0.0730700789153179	0.00673994755356099	-0.0895732239218212	0.0476666079058862	-0.0856768412579966
chr12:101875796:101878096	0.0178623517413349	-0.322583061111268	-0.181938740346862	-0.113500689066102	-0.0756145539135772	-0.0328392041126667	-0.0108918533350355
chr12:101906313:101908613	-0.0916611268186928	-0.259054831559944	-0.00606551683786286	0.121132204872004	-0.188760597834227	-0.0939473489304937	-0.000308587962466225
chr12:10210921:10213221	-0.347689404755121	-0.314855354165904	-0.107024545306098	-0.138613444833326	-0.13086447565749	0.180027848786967	0.0541569386438598
chr12:10210927:10213227	-0.367988023531418	-0.301719526199845	-0.0443257197076197	-0.154047492058817	-0.153337150428238	0.0387300784435129	-0.0745714676948249
chr12:130951978:130954278	0.00154047003286228	-0.371534976146714	0.0685643063792262	-0.0277932590191767	-0.0619267705996531	-0.142828651246934	-0.138859738270133
chr12:13194782:13197082	-0.721488476126142	-0.566121143121903	-0.167974538428335	-0.269641915168013	-0.223881825471572	-0.117988415039104	0.00324016993008924
chr12:13194785:13197085	-0.635813788330999	-0.504275334414058	-0.17051152446385	-0.283143508507887	-0.288286136126281	-0.115195285389408	-0.0624065763596181
chr12:42464780:42467080	-0.035913052692099	-0.0199208766053307	-0.093131261536625	-0.0574150131412099	-0.101957958450762	-0.29884573651227	0.0483956237880313
